AUTHOR,BORN_DIED,TITLE,DATE,TECHNIQUE,LOCATION,URL,FORM,STYLE,SCHOOL,TIMEFRAME
"STRIGEL, Bernhard","(b. 1460, Memmingen, d. 1528, Memmingen)",Portrait of Conrad Rehlinger and his Children,1517,"Wood, 209 x 101 cm and 209 x 98 cm","Alte Pinakothek, Munich",http://www.wga.hu/html/s/strigel/bernhard/rehlinge.html,painting,portrait,German,1501-1550
"STRIGEL, Bernhard","(b. 1460, Memmingen, d. 1528, Memmingen)",Portrait of Dr. Georg Thannstetter,c. 1515,"Oil on panel, 42 x 29 cm","Liechtenstein Museum, Vienna",http://www.wga.hu/html/s/strigel/bernhard/portrai1.html,painting,portrait,German,1501-1550
"STRIGEL, Bernhard","(b. 1460, Memmingen, d. 1528, Memmingen)",Portrait of Martha Thannstetter (née Werusin),c. 1515,"Oil on panel, 42 x 28 cm","Liechtenstein Museum, Vienna",http://www.wga.hu/html/s/strigel/bernhard/portrai2.html,painting,portrait,German,1501-1550
"STRIGEL, Bernhard","(b. 1460, Memmingen, d. 1528, Memmingen)",Portrait of Sybilla von Freyberg (born Gossenbrot),-,"Wood, 61 x 35,8 cm","Alte Pinakothek, Munich",http://www.wga.hu/html/s/strigel/bernhard/freyberg.html,painting,portrait,German,1501-1550
"STRIGEL, Bernhard","(b. 1460, Memmingen, d. 1528, Memmingen)",Portrait of the Cuspinian Family,1520,"Oil on softwood panel, 71 x 62 cm",Private collection,http://www.wga.hu/html/s/strigel/bernhard/cuspinia.html,painting,portrait,German,1501-1550
"STRIGEL, Bernhard","(b. 1460, Memmingen, d. 1528, Memmingen)",The Family of Maximilian I,1515,Oil on panel,"Museo de la Real Academia de San Fernando, Madrid",http://www.wga.hu/html/s/strigel/bernhard/maximili.html,painting,portrait,German,1501-1550
"STRINGER, Thomas","(b. 1722, Knutsford, d. 1790, Knutsford)",A Gentleman on His Bay Hunter,-,Oil on canvas,Private collection,http://www.wga.hu/html/s/stringer/bayhunte.html,painting,portrait,English,1751-1800
"STRINGER, Thomas","(b. 1722, Knutsford, d. 1790, Knutsford)",George Heron Galloping,c. 1776,"Oil on canvas, 612 x 891 cm",Private collection,http://www.wga.hu/html/s/stringer/gallopin.html,painting,portrait,English,1751-1800
"STRÓBL, Alajos","(b. 1856, Liptóújvár, d. 1926, Budapest)",Composer Ferenc Erkel,1881-84,"Limestone, above life-size","Opera House, Budapest",http://www.wga.hu/html/s/strobl/1erkel.html,painting,portrait,Hungarian,1851-1900
"STRÓBL, Alajos","(b. 1856, Liptóújvár, d. 1926, Budapest)",Franz Liszt,1881-84,"Limestone, above life-size","Opera House, Budapest",http://www.wga.hu/html/s/strobl/2liszt.html,painting,portrait,Hungarian,1851-1900
"STRÓBL, Alajos","(b. 1856, Liptóújvár, d. 1926, Budapest)",Our Mother,1896,"Marble, height 161 cm","Magyar Nemzeti Galéria, Budapest",http://www.wga.hu/html/s/strobl/3mother.html,painting,portrait,Hungarian,1851-1900
